holedis,avg_strokes,count
1,1.0021158616664234,13706
2,1.0212471131639722,4330
3,1.1036945048121702,3221
4,1.2155737704918033,2440
5,1.364620938628159,2216
6,1.4994929006085194,1972
7,1.567139282735613,1199
8,1.6482593037214885,1666
9,1.7066115702479339,968
10,1.793935991016283,1781
11,1.8027397260273972,365
12,1.80463368816531,1597
13,1.8089430894308942,492
14,1.8261964735516374,397
15,1.9102927289896128,2118
16,1.8793774319066148,514
17,1.9063670411985019,267
18,1.939917695473251,1215
19,1.9357429718875503,249
20,1.9863868406125922,1763
21,1.9789473684210526,380
22,1.944636678200692,289
23,2.0186915887850465,214
24,2.042929292929293,396
25,2.044180118946474,1177
26,2.0476190476190474,126
27,2.120967741935484,248
28,2.033003300330033,303
29,2.044776119402985,67
30,2.1169871794871793,1248
31,2.0416666666666665,48
32,2.1402439024390243,164
33,2.0890688259109313,247
34,2.1551724137931036,58
35,2.210227272727273,704
36,2.1176470588235294,119
37,2.225,40
38,2.2481203007518795,133
39,2.3035714285714284,56
40,2.2829457364341086,516
41,2.0588235294117645,17
42,2.256880733944954,109
43,2.111111111111111,45
44,2.3125,16
45,2.388198757763975,322
46,2.1739130434782608,23
47,2.4,15
48,2.326530612244898,49
49,2.3636363636363638,11
50,2.3574144486692017,263
